"time","blh_m"
2024-06-19 06:52:42.311001,401.63
2024-06-19 07:12:42.228974,301.63
2024-06-19 07:32:42.244393,301.63
2024-06-19 07:52:42.248817,NA
2024-06-19 08:12:42.296432,NA
2024-06-19 08:32:42.214949,NA
2024-06-19 08:52:42.219534,NA
2024-06-19 09:12:42.192989,NA
2024-06-19 09:32:42.246217,NA
2024-06-19 09:52:42.191036,NA
2024-06-19 10:12:42.189184,NA
2024-06-19 10:32:41.991437,601.63
2024-06-19 10:52:42.272042,NA
2024-06-19 11:12:42.200063,NA
2024-06-19 11:32:42.188515,201.63
2024-06-19 11:52:42.231393,201.63
2024-06-19 12:12:42.263115,201.63
2024-06-19 12:32:42.082116,NA
2024-06-19 12:52:42.282063,NA
2024-06-19 13:12:42.161735,251.63
2024-06-19 13:32:42.124287,NA
2024-06-19 13:52:42.110435,NA
2024-06-19 14:12:42.096694,351.63
2024-06-19 14:32:42.357112,351.63
2024-06-19 14:52:42.064174,301.63
2024-06-19 15:12:42.236763,651.63
2024-06-19 15:32:42.242897,701.63
2024-06-19 15:52:42.226672,951.63
2024-06-19 16:12:42.238359,851.63
2024-06-19 16:32:42.202077,801.63
2024-06-19 16:52:42.203364,1751.63
2024-06-19 17:12:42.205324,1551.63
2024-06-19 17:32:42.228658,1151.63
2024-06-19 17:52:42.349195,1801.63
2024-06-19 18:12:42.060964,3251.63
2024-06-19 18:32:42.271785,2801.63
2024-06-19 18:52:42.021805,2001.63
2024-06-19 19:12:42.296918,2251.63
2024-06-19 19:32:42.067719,2751.63
2024-06-19 19:52:42.321126,2801.63
2024-06-19 20:12:42.243063,2001.63
2024-06-19 20:32:42.235146,3601.63
2024-06-19 20:52:42.058109,2251.63
2024-06-19 21:12:42.303238,2701.63
2024-06-19 21:32:42.105048,3951.63
2024-06-19 21:52:42.187837,1951.63
2024-06-19 22:12:42.052069,2151.63
2024-06-19 22:32:42.28709,2001.63
2024-06-19 22:52:42.233287,1251.63
2024-06-19 23:12:42.206149,501.63
2024-06-19 23:32:42.007929,2001.63
2024-06-19 23:52:42.263931,201.63
2024-06-20 00:12:42.231221,351.63
2024-06-20 00:32:42.186903,101.63
2024-06-20 00:52:42.154092,1251.63
2024-06-20 01:12:42.127939,2901.63
2024-06-20 01:32:42.147813,1401.63
2024-06-20 01:52:42.103847,1551.63
2024-06-20 02:12:42.114156,951.63
2024-06-20 02:32:42.073087,NA
2024-06-20 02:52:42.397234,NA
2024-06-20 03:12:42.236994,NA
2024-06-20 03:32:42.014574,NA
2024-06-20 03:52:42.231078,NA
2024-06-20 04:12:42.010026,NA
2024-06-20 04:32:42.352549,NA
2024-06-20 04:52:42.100779,NA
2024-06-20 05:12:42.097851,NA
2024-06-20 05:32:42.088768,NA
2024-06-20 05:52:42.345947,NA
2024-06-20 06:12:42.142376,NA
2024-06-20 06:32:42.136712,NA
2024-06-20 06:52:42.161877,NA
2024-06-20 07:12:42.130474,NA
2024-06-20 07:32:42.163846,NA
2024-06-20 07:52:42.136003,NA
2024-06-20 08:12:42.136214,NA
2024-06-20 08:32:42.118299,NA
2024-06-20 08:52:42.178808,NA
2024-06-20 09:12:42.207201,601.63
2024-06-20 09:32:42.223726,NA
2024-06-20 09:52:42.230052,NA
2024-06-20 10:12:42.223392,NA
2024-06-20 10:32:42.219378,NA
2024-06-20 10:52:42.209328,NA
2024-06-20 11:12:42.178891,NA
2024-06-20 11:32:42.141815,NA
2024-06-20 11:52:42.180216,NA
2024-06-20 12:12:42.090898,NA
2024-06-20 12:32:42.366845,NA
2024-06-20 12:52:42.066675,NA
2024-06-20 13:12:42.317055,NA
2024-06-20 13:32:42.075524,151.63
2024-06-20 13:52:42.382622,NA
2024-06-20 14:12:42.132059,NA
2024-06-20 14:32:42.153362,1651.63
2024-06-20 14:52:42.204879,1501.63
2024-06-20 15:12:42.177359,201.63
