"file","date","n","t_start","t_end","has_CH4","has_C2H6","lat_min","lat_max","lon_min","lon_max"
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240628_RA_L1.ict","2024-06-28",2127,"17:30:54","19:07:38",FALSE,FALSE,40.078,40.53,-105.224,-104.274
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240629_R0_L1.ict","2024-06-29",4370,"16:25:11","19:09:54",FALSE,FALSE,39.757,40.594,-105.303,-104.264
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240629_R0_L2.ict","2024-06-29",986,"21:17:28","23:39:00",FALSE,FALSE,39.914,40.581,-105.271,-104.257
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240702_R0_L1.ict","2024-07-02",2705,"16:28:02","18:46:06",FALSE,FALSE,39.898,40.688,-105.2,-104.256
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240702_R0_L2.ict","2024-07-02",5066,"20:15:59","23:40:55",FALSE,FALSE,39.82,40.581,-105.241,-104.253
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240703_R0_L1.ict","2024-07-03",5839,"16:15:59","19:33:56",FALSE,FALSE,39.279,40.643,-105.274,-104.692
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240703_R0_L2.ict","2024-07-03",3657,"21:41:10","00:00:30",FALSE,FALSE,39.484,40.615,-105.267,-104.968
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240704_R0_L1.ict","2024-07-04",4900,"16:02:57","19:19:18",FALSE,FALSE,39.877,40.581,-105.273,-104.256
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240704_R0_L2.ict","2024-07-04",4764,"20:53:35","00:09:18",FALSE,FALSE,39.872,40.608,-105.314,-104.261
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240705_R0_L1.ict","2024-07-05",5775,"16:05:14","19:50:20",FALSE,FALSE,39.438,40.625,-105.273,-104.331
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240705_R0_L2.ict","2024-07-05",4783,"21:27:18","00:47:42",FALSE,FALSE,39.897,40.612,-105.276,-104.258
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240708_R0_L1.ict","2024-07-08",5929,"16:52:45","20:20:22",FALSE,FALSE,39.469,40.425,-105.268,-104.379
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240708_R0_L2.ict","2024-07-08",6378,"22:33:36","01:52:21",FALSE,FALSE,39.643,40.584,-105.266,-104.386
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240709_R0.ict","2024-07-09",5011,"17:18:49","20:33:46",FALSE,FALSE,39.292,40.397,-105.261,-104.374
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240709_RA_L1.ict","2024-07-09",5011,"17:18:49","20:33:46",FALSE,FALSE,39.292,40.397,-105.261,-104.374
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240710_R0_L1.ict","2024-07-10",4708,"16:00:15","18:58:09",FALSE,FALSE,39.471,40.4,-105.276,-104.378
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240710_R0_L2.ict","2024-07-10",3710,"20:33:39","23:39:20",FALSE,FALSE,39.568,40.588,-105.263,-104.257
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240711_R0_L1.ict","2024-07-11",4815,"15:56:24","18:44:48",FALSE,FALSE,39.901,40.583,-105.161,-104.509
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240711_R0_L2.ict","2024-07-11",5286,"20:31:11","23:30:12",FALSE,FALSE,39.889,40.6,-105.127,-104.357
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240712_R0_L1.ict","2024-07-12",4135,"16:28:12","18:39:17",FALSE,FALSE,39.552,40.368,-105.27,-104.929
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240712_R0_L2.ict","2024-07-12",4799,"20:34:42","23:34:10",FALSE,FALSE,39.892,40.585,-105.191,-104.257
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240713_R0_L1.ict","2024-07-13",5738,"15:36:26","18:46:58",FALSE,FALSE,39.472,40.473,-105.18,-104.381
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240713_R0_L2.ict","2024-07-13",4078,"20:24:07","23:17:42",FALSE,FALSE,39.47,40.424,-105.206,-104.311
"AMMBEC-ARL-Suite_TwinOtter_20240628_R0.ict","2024-06-28",7261,"17:21:00","19:22:00",TRUE,TRUE,39.89,40.53,-105.253,-104.274
"AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict","2024-06-29",10021,"16:21:00","19:08:00",TRUE,TRUE,39.757,40.597,-105.303,-104.264
